Species Common Name,Taxon Class,Population Est,Sighting Rate MoM,IUCN Status
Rock Pigeon,N/A,40,Insufficient Data,LC
Deer,N/A,59,Insufficient Data,LC
Lion,N/A,56,Insufficient Data,LC
Snake,N/A,30,Insufficient Data,LC
Leopard,N/A,10,Insufficient Data,LC
Koel,N/A,105,Insufficient Data,LC
Indian Peafowl,N/A,73,Insufficient Data,LC
Zebra,N/A,599,Insufficient Data,LC
Bear,N/A,15,Insufficient Data,LC
Raccoon,N/A,15,Insufficient Data,LC
Lapwing,N/A,375,Insufficient Data,LC
Finch,N/A,5,Insufficient Data,LC
Asian Black Bear,N/A,5,Insufficient Data,LC
European Green Toad,N/A,30,Insufficient Data,LC
Starling,N/A,5,Insufficient Data,LC
Collared Dove,N/A,25,Insufficient Data,LC
Pig,N/A,25,Insufficient Data,LC
Carrion Crow,N/A,10,Insufficient Data,LC
Goat,N/A,15,Insufficient Data,LC
Kangaroo,N/A,30,Insufficient Data,LC
Fox,N/A,10,Insufficient Data,LC
Ostrich,N/A,15,Insufficient Data,LC
Red-tailed Hawk,N/A,5,Insufficient Data,LC
Rose-ringed Parakeet,N/A,50,Insufficient Data,LC
Butterfly,N/A,15,Insufficient Data,LC
Monkey,N/A,20,Insufficient Data,LC
Lynx,N/A,15,Insufficient Data,LC
Cricket,N/A,90,Insufficient Data,LC
Eurasian Tree Sparrow,N/A,10,Insufficient Data,LC
House Sparrow,N/A,75,Insufficient Data,LC
Gull,N/A,10,Insufficient Data,LC
Owl,N/A,55,Insufficient Data,LC
Pacific Chorus Frog,N/A,70,Insufficient Data,LC
Dove,N/A,80,Insufficient Data,LC
Barbet,N/A,150,Insufficient Data,LC
Cape Turtle Dove,N/A,10,Insufficient Data,LC
Acacia Pied Barbet,N/A,30,Insufficient Data,LC
Cheetah,N/A,15,Insufficient Data,LC
Giraffe,N/A,30,Insufficient Data,LC
Jellyfish,N/A,15,Insufficient Data,LC
Indian Leopard,N/A,41,Insufficient Data,LC
Mouse,N/A,20,Insufficient Data,LC
Hedgehog,N/A,5,Insufficient Data,LC
Snipe,N/A,10,Insufficient Data,LC
Asiatic Lion,N/A,59,Insufficient Data,LC
Bengal Tiger,N/A,44,Insufficient Data,LC
Asian Elephant,N/A,52,Insufficient Data,LC
Monitor Lizard,N/A,5,Insufficient Data,LC
Proboscis Monkey,N/A,5,Insufficient Data,LC
Copper Butterfly,N/A,205,Insufficient Data,LC
African Bullfrog,N/A,5,Insufficient Data,LC
Tiger,N/A,10,Insufficient Data,LC
Lizard,N/A,10,Insufficient Data,LC
Sloth Bear,N/A,25,Insufficient Data,LC
Sambar Deer,N/A,35,Insufficient Data,LC
Frog,N/A,5,Insufficient Data,LC
Canada Goose,N/A,10,Insufficient Data,LC
One-horned Rhinoceros,N/A,56,Insufficient Data,LC
Red Tailed Hawk,N/A,15,Insufficient Data,LC
Parrot,N/A,10,Insufficient Data,LC
Chital,N/A,30,Insufficient Data,LC
Indian Gaur,N/A,35,Insufficient Data,LC
Jungle Babbler,N/A,15,Insufficient Data,LC
Dhole,N/A,20,Insufficient Data,LC
Nilgai,N/A,35,Insufficient Data,LC
Indian Python,N/A,20,Insufficient Data,LC
Hornbill,N/A,30,Insufficient Data,LC
Asian Koel,N/A,5,Insufficient Data,LC
