Survey ID,Survey Name,Date,Device,Area
1,Tiger Density Survey 2026,2026-04-12,Camera Trap,Protected
2,Large Carnivore Assessment 2026,2026-01-24,Camera Trap,Protected
3,Predator-Prey Interaction Study,2026-06-14,Camera Trap,Protected
4,Elephant Corridor Survey 2026,2026-02-28,Visual,Protected
5,Ungulate Census 2026,2026-04-19,Camera Trap,Protected
6,Grassland Biodiversity Audit,2026-04-04,Visual,Protected
7,Grassland Mammal Surveillance,2026-06-13,Camera Trap,Protected
8,Asiatic Lion Registry 2026,2026-04-06,Camera Trap,Protected
9,Canopy & Soil Bioacoustics,2026-03-08,Audio Sensor,Protected
10,Dry Deciduous Wildlife Survey,2026-03-03,Camera Trap,Protected
11,Western Ghats Monsoon Census,2026-05-18,Visual,Protected
12,Mangrove Wildlife Survey,2026-02-19,Camera Trap,Protected
13,Nilgiri Biosphere Monitoring,2026-02-27,Audio Sensor,Protected
14,High Altitude Tahr Census,2026-03-17,Visual,Protected
15,Wetland Aviary Survey 2026,2026-03-05,Audio Sensor,Protected
16,Silent Valley Bioacoustic Audit,2026-02-23,Audio Sensor,Protected
17,Foothill Species Diversity,2026-03-03,Camera Trap,Protected
18,Alpine Flora & Fauna Survey,2026-04-07,Visual,Protected
19,Snow Leopard Prey Monitoring,2026-05-03,Camera Trap,Protected
20,Hangul Deer Population Survey,2026-02-28,Visual,Protected
23,Kaziranga Wetland Bird Survey 2026,2026-07-05,Camera Trap,Protected
28,Periyar Elephant Migration Survey 2026,2026-07-05,Camera Trap,Protected
21,Jim Corbett Tiger Corridor Survey 2026,2026-07-05,Camera Trap,Protected
